#Lon Lat Depth mrr mtt mff mrt mrf mtf Exponent_(dyn-cm) X_position Y_position ID Mechanism_type
183.04 -29.25 47.8 7.68 0.09 -7.77 1.39 4.52 -3.26 26 183.04 -29.25 M010176A R
284.86 -13.42 85.4 -1.78 -0.59 2.37 -1.28 1.97 -2.9 24 284.86 -13.42 C010576A N
159.5 51.45 15.0 1.1 -0.3 -0.8 1.05 1.24 -0.56 25 159.5 51.45 C010676A R
167.81 -15.97 173.7 -1.7 2.29 -0.59 -2.33 -1.23 2.01 25 167.81 -15.97 C010976A N
343.71 66.33 15.0 -0.51 -2.86 3.37 0.05 -0.78 -0.86 25 343.71 66.33 C011376A SS
182.96 -29.69 46.7 4.78 -0.49 -4.3 0.83 3.62 -1.32 27 182.96 -29.69 M011476A R
183.25 -28.72 17.7 2.56 0.18 -2.74 3.58 6.77 -1.23 27 183.25 -28.72 M011476B R
183.38 -28.61 15.0 2.34 0.24 -2.58 0.62 3.71 -0.68 25 183.38 -28.61 B011476C R
183.37 -30.25 15.0 1.44 0.06 -1.5 0.3 1.18 -0.46 25 183.37 -30.25 B011576A R
183.01 -30.25 15.0 3.07 0.38 -3.45 2.75 8.61 -0.68 24 183.01 -30.25 B011576B R
149.49 44.58 26.5 3.21 -1.49 -1.72 2.87 5.33 -1.84 26 149.49 44.58 M012176A R
120.07 -7.37 623.1 -1.56 1.06 0.5 -0.41 -0.13 0.64 26 120.07 -7.37 C012376A N
182.83 -28.79 60.2 2.35 0 -2.34 0.22 0.7 -0.74 25 182.83 -28.79 C012476A R
182.82 -28.27 62.0 0.39 -0.14 -0.25 0.28 1.11 -0.42 24 182.82 -28.27 B012676A R
162.16 54.25 48.0 4.2 -3.11 -1.09 1.75 4.71 -2.41 24 162.16 54.25 C020376A R
270.22 15.14 16.3 -0.35 -0.78 1.12 0.38 -0.47 1.67 27 270.22 15.14 M020476A SS
146.1 -6.04 29.5 0.129 -0.005 -0.124 0.923 -0.712 0.145 25 146.1 -6.04 B020676A R
295.06 -57.22 16.9 5.97 -0.17 -5.8 1.7 -1.48 3.56 24 295.06 -57.22 C021476A R
126.02 13.12 15.6 -5.14 3.27 1.86 -1.56 0.51 -4.69 25 126.02 13.12 C021576A N
183.53 -28.52 15.0 0.77 0 -0.76 0.37 1.17 -0.33 25 183.53 -28.52 C021576B R
145.61 -3.44 25.3 0.14 0.07 -0.21 0.04 -0.06 2.1 24 145.61 -3.44 C022276A SS
229.07 51.63 22.5 -0.17 -0.16 0.33 0.18 -0.16 1.08 25 229.07 51.63 C022376A SS
284.43 -40.3 15.0 -8 -2.3 10.3 -0.3 0.1 2.3 24 284.43 -40.3 C022876A N
121.69 -8.47 38.7 3.24 -3.62 0.38 -1.23 -0.18 -1.36 24 121.69 -8.47 C030376A R
166.95 -14.91 103.0 0.97 0.66 -1.63 -1.75 -0.03 1.62 26 166.95 -14.91 C030476A SS-R
164.93 -10.87 29.7 1.4 -1.47 0.07 0.31 -0.35 0.51 25 164.93 -10.87 C030876A R
154.55 -6.49 47.7 1.91 -1.07 -0.84 0.53 0 1.32 25 154.55 -6.49 C031376A R
182.49 -29.99 54.1 3.67 0.12 -3.78 0.07 1.78 -1.41 26 182.49 -29.99 C032476A R
274.2 3.87 17.5 -1.58 7.13 -5.55 -2.11 -0.15 7.46 25 274.2 3.87 C032976A SS
152.17 -3.72 15.0 0.11 4.01 -4.12 -0.12 -0.78 0.93 25 152.17 -3.72 C040676A SS
63.65 40.41 15.0 1.16 -1.05 -0.11 0.06 0.3 0.12 26 63.65 40.41 C040876A R
63.54 41.48 42.9 1.39 -1.23 -0.15 -0.61 -1.12 -0.15 25 63.54 41.48 C040876B R-SS
280.11 0.79 19.4 0.588 0.019 -0.607 0.375 -0.854 -0.148 26 280.11 0.79 C040976A R
154.63 -6.5 40.6 -0.66 -0.45 1.1 0.54 -0.22 -0.5 24 154.63 -6.5 C041076A N-SS
139.46 -52.1 15.0 -0.12 0.05 0.07 0.02 0 -1.4 25 139.46 -52.1 C041476A SS
52.08 28.49 15.0 3.77 -1.83 -1.94 -0.63 0.06 1.55 24 52.08 28.49 C042276A R
183.65 -28.06 15.0 1.49 0.19 -1.68 0.48 1.26 -0.36 25 183.65 -28.06 C042976A R
167.63 -44.75 15.0 3.03 -0.12 -2.91 -0.95 -6.94 -2.4 25 167.63 -44.75 C050476A R
182.57 -29.84 41.8 3.63 0.04 -3.66 0.15 1.8 -1.75 26 182.57 -29.84 C050576A R
13.17 46.33 15.0 3.36 -3.4 0.04 5.06 1.74 0.04 25 13.17 46.33 C050676A R
139.71 -51.73 15.0 -0.52 0.67 -0.15 2.02 2.74 -8.22 24 139.71 -51.73 C051176A SS
140.13 -51.67 15.0 -0.06 0.47 -0.4 -1.12 0.84 -3.95 25 140.13 -51.67 B051176B SS
20.13 36.99 15.1 2.55 -0.71 -1.84 3.27 -3.48 0.95 25 20.13 36.99 C051176C R
285.74 -11.72 25.5 0.78 -0.05 -0.73 -0.31 1.41 0.27 26 285.74 -11.72 C051576A R
63.46 40.42 15.0 1.44 -0.77 -0.67 0.39 0.23 -0.5 26 63.46 40.42 C051776A R
153.75 -60.73 25.8 -0.19 3.06 -2.87 0.91 0.44 -3.04 25 153.75 -60.73 C051876A SS
98.65 24.39 15.0 -0.01 -1.15 1.15 0.28 -0.01 0.31 26 98.65 24.39 C052976A SS
98.58 24.29 15.0 0.022 -0.945 0.923 0.016 -0.032 0.618 26 98.58 24.29 B052976B SS
284.06 -42.06 15.0 -1.66 0.08 1.59 -0.24 -0.03 0.43 25 284.06 -42.06 C053076A N
98.6 24.26 15.0 -0.19 -0.85 1.05 0.53 -0.09 1.2 25 98.6 24.26 C053176A SS
153.47 -4.75 85.9 5.11 -1.33 -3.78 -1.27 2.65 2.71 26 153.47 -4.75 C060376A R
160.93 -10.15 47.4 2.91 -1.54 -1.38 -0.81 -0.43 1.54 25 160.93 -10.15 C060576A R
125.07 14.23 24.4 -0.93 5.57 -4.63 -1.81 2.82 -5.74 25 125.07 14.23 C060776A SS-R
259.09 17.22 29.0 3.2 -2.73 -0.47 3.88 -1.97 1.13 25 259.09 17.22 C060776B R
134.84 0.54 20.2 -1.47 -0.05 1.51 -0.05 0.28 5.86 25 134.84 0.54 C061576A SS
12.5 46.05 45.5 4.49 -8.67 4.19 -0.66 1.11 0.44 23 12.5 46.05 B061776A R-SS
65.59 -17.58 16.2 -0.18 -3.92 4.1 0.02 0.39 2.19 25 65.59 -17.58 C061976A SS
96.24 3.18 19.1 2.43 -0.02 -2.41 1.12 -1.68 1.84 26 96.24 3.18 C062076A R
140.29 -4.66 15.0 2.4 1.48 -3.88 3.49 1.22 4.19 26 140.29 -4.66 C062576A SS-R
127.06 3.77 18.0 4.8 0.34 -5.14 1.35 4.1 -0.09 25 127.06 3.77 C062676A R
182.37 -33.63 55.2 2.05 -0.41 -1.64 -0.55 -0.43 -1.3 25 182.37 -33.63 C062976A R
281.71 7.19 15.0 0.44 0.55 -0.99 0.13 -0.66 -1.3 26 281.71 7.19 C071176A SS-R
281.89 7.32 15.0 2.91 0.89 -3.8 2.38 -2.72 -8.31 26 281.89 7.32 C071176B SS-R
114.89 -8.14 28.4 5.43 -5.38 -0.06 -3.4 0.68 0.76 25 114.89 -8.14 C071476A R
152.71 -4.27 36.5 4.76 -3.41 -1.35 4.07 2.78 5.96 25 152.71 -4.27 C071776A R-SS
98.57 24.74 15.0 0 -1.38 1.38 0.1 -0.02 1.42 25 98.57 24.74 C072176A SS
246.56 -21.76 15.0 0.39 0.04 -0.43 -0.06 -0.74 1.91 24 246.56 -21.76 B072676A SS-R
118.55 5.08 15.0 -0.5 2.97 -2.47 0.36 -1 -1.36 25 118.55 5.08 C072676B SS
118.03 39.52 15.0 -0.74 2.07 -1.34 -1.16 1.77 0.32 27 118.03 39.52 M072776A N-SS
118.78 39.75 15.0 -2.64 4.39 -1.75 0.33 -0.21 0.42 26 118.78 39.75 C072876A N
169.58 -19.95 15.0 -2.03 -0.75 2.78 2.15 -1.32 -0.88 25 169.58 -19.95 C072876B N-SS
71.67 39.27 34.2 -5.58 9.32 -3.74 -4.25 -2.95 -0.96 24 71.67 39.27 B072876C N-SS
45.45 43.15 15.0 1.32 -1.14 -0.18 -2.17 0.62 0.31 25 45.45 43.15 C072876D R
182.44 -30.26 50.7 4.72 0.22 -4.93 0.58 2.71 -1.43 25 182.44 -30.26 C073176A R
169.11 -20.71 42.6 2.22 -0.19 -2.03 0.16 -0.51 0.92 26 169.11 -20.71 C080276A R
97.12 26.55 15.0 7.84 -2.44 -5.4 -0.31 -0.09 3.95 24 97.12 26.55 C081276A R
104.42 32.63 15.0 1.03 0.31 -1.35 0.35 -0.13 -0.23 26 104.42 32.63 C081676A R-SS
123.75 7.07 33.0 0.933 0.024 -0.957 0.145 -0.334 0.433 28 123.75 7.07 M081676B R
126.1 10.08 47.3 -1.25 0.39 0.86 -0.5 0.07 -0.57 25 126.1 10.08 B081776A N
123.01 7.14 15.0 -1.22 5.31 -4.1 -1.92 1.33 2.11 26 123.01 7.14 C081776B SS-N
129.74 -6.9 185.5 -0.58 -2.66 3.23 1.81 2.06 0.22 25 129.74 -6.9 C082176A SS-N
104.29 32.37 15.3 2.87 0.11 -2.98 -0.78 0.8 -0.18 25 104.29 32.37 C082176B R
104.21 32.11 19.6 3.89 1.23 -5.12 0.62 0.21 -0.48 25 104.21 32.11 C082376A R
13.23 46.19 15.0 0.796 -0.651 -0.145 0.697 0.44 -0.291 25 13.23 46.19 C091576A R
149.38 44.8 46.7 0.444 -0.204 -0.24 0.901 0.114 -0.405 25 149.38 44.8 C092276A R
124.24 6.61 15.0 -4.62 2.22 2.4 -0.53 -1.81 1.87 24 124.24 6.61 C092976A N
182.68 -30.41 15.0 0.491 -0.043 -0.449 0.263 0.829 -0.207 26 182.68 -30.41 C093076A R
153.1 -6.57 15.0 -3.81 3.34 0.47 -1.03 -1.7 -0.36 25 153.1 -6.57 C100576A N
161.42 -10.65 99.0 -0.149 0.023 0.126 0.337 -0.991 0.027 25 161.42 -10.65 C101276A N
139.93 -4.55 15.0 -0.78 0.53 0.25 0.49 0.41 2.04 26 139.93 -4.55 C102976A SS
77.84 -28.75 15.0 -7.49 3.68 3.8 -3.59 -3.23 3.62 25 77.84 -28.75 C110276A N
101.4 27.5 22.7 -1.13 -1.5 2.63 -1.1 0.76 -2.68 25 101.4 27.5 C110676A SS-N
59.15 34.07 15.0 -0.108 -0.317 0.425 -0.112 -0.265 0.993 25 59.15 34.07 C110776A SS
126.86 8.35 42.1 1.54 0.23 -1.77 0.99 0.61 -0.17 26 126.86 8.35 C110776B R-SS
142.23 38.03 32.4 1.56 -0.04 -1.51 1.17 1.88 -0.62 25 142.23 38.03 C110876A R
117.71 39.45 15.0 -0.74 3.88 -3.14 -1.72 -1.61 -0.63 25 117.71 39.45 C111576A SS-N
79.88 -41.32 15.4 -0.05 2.23 -2.18 -0.3 0.02 -0.61 25 79.88 -41.32 C111676A SS
157.07 -8.75 15.0 0.46 -2.86 2.41 0.76 -1.04 4.36 25 157.07 -8.75 C111876A SS
134.93 -4.17 15.0 0.79 -1.48 0.69 2.24 -5.63 1.87 25 134.93 -4.17 C111876B R
123.58 7.03 60.0 2.03 4.26 -6.29 1.78 2.02 0.22 23 123.58 7.03 B112276A SS-R
78.12 -38.4 15.0 -2.23 -5 7.24 0 0 -1.33 24 78.12 -38.4 C112276B SS
43.96 38.88 15.0 0.25 -2.85 2.61 0.6 -0.93 -2.93 26 43.96 38.88 C112476A SS
