#Lon Lat Depth mrr mtt mff mrt mrf mtf Exponent_(dyn-cm) X_position Y_position ID Mechanism_type
147.63 18.06 16.3 5.31 -0.172 -5.14 0.793 4.69 2.14 23 147.63 18.06 C202006010015A R
140.37 30.62 12.0 -3.07 -0.292 3.36 -0.639 1.2 -0.247 23 140.37 30.62 C202006011031A N
236.19 -55.8 24.3 -0.127 2.58 -2.45 0.599 0.393 3.58 23 236.19 -55.8 C202006011439A SS
153.76 48.67 176.9 -0.093 0.01 0.083 1.04 3.27 -0.261 23 153.76 48.67 C202006011600A N
84.92 -41.74 20.1 -0.418 2.91 -2.49 0.036 0.971 -0.272 23 84.92 -41.74 C202006011849A SS
167.37 -15.05 120.5 2.1 0.256 -2.35 0.155 -0.513 -0.324 23 167.37 -15.05 C202006011857A R
274.25 -41.39 12.0 -1.55 2.11 -0.554 1.13 -2.11 -4.87 23 274.25 -41.39 C202006020107B SS-N
169.37 -19.05 265.8 3.27 -4.57 1.29 4.26 -3.79 -1.74 23 169.37 -19.05 C202006020204A R-SS
67.84 -20.32 13.5 -0.69 2.3 -1.61 0.368 0.523 -1.26 23 67.84 -20.32 C202006020444A SS
144.38 37.54 13.1 -2.54 0.261 2.28 -0.773 0.419 1.73 23 144.38 37.54 C202006021541A N
126.35 26.85 16.5 -0.545 0.44 0.105 -0.313 0.038 1.23 23 126.35 26.85 C202006021602A SS-N
262.36 10.46 19.3 1.31 -0.448 -0.862 -0.974 0.215 -1.91 23 262.36 10.46 C202006030321A R-SS
291.56 -23.22 108.6 -1.55 0.123 1.43 0.428 -0.833 -0.816 26 291.56 -23.22 C202006030735A N
183.57 -24.67 118.6 0.201 -1.44 1.24 0.62 0.905 -0.144 25 183.57 -24.67 C202006030931A SS-R
116.77 -6.99 654.5 -2.51 2.43 0.076 -3.67 -3.87 1.01 24 116.77 -6.99 B202006031554A N
140.64 36.44 55.1 1.62 -0.19 -1.43 0.323 0.977 -0.842 23 140.64 36.44 C202006032031A R
315.15 13.47 14.9 -3.12 0.141 2.98 -0.854 0.172 -0.185 23 315.15 13.47 C202006032118A N
95.29 5.79 22.5 -0.122 -1.65 1.77 -0.547 -0.297 0.651 23 95.29 5.79 C202006032230A SS
185.05 -14.64 26.2 -1.25 2.81 -1.56 0.507 0.696 3.74 23 185.05 -14.64 C202006032340A SS
242.57 35.6 15.0 -0.243 -2.42 2.66 -0.548 -0.498 1.05 24 242.57 35.6 C202006040132A SS
128.15 2.98 121.3 1.31 4.61 -5.92 2.91 2.89 2.49 25 128.15 2.98 C202006040849A SS-R
126.27 1.35 30.8 4.73 0.118 -4.85 0.928 1.12 -0.473 23 126.27 1.35 C202006041312A R
318.61 31.09 14.0 -1.83 0.355 1.48 0.408 -0.269 0.426 23 318.61 31.09 C202006041554A N
184.75 -22.37 54.7 -1.39 0.08 1.31 -0.421 -0.57 0.391 24 184.75 -22.37 C202006050619A N
325.87 7.25 14.1 -0.531 0.428 0.103 0.2 -0.118 -4.76 23 325.87 7.25 C202006051326A SS
121 12.87 22.8 1.18 5.9 -7.07 -3.85 -1 -1.74 23 121.0 12.87 C202006051338A SS-R
206.75 56.08 36.6 2.67 -3.41 0.743 0.776 1.61 -0.724 23 206.75 56.08 C202006051347A R-SS
356.22 81.31 12.0 -3.44 -0.751 4.19 -0.161 -0.748 0.546 23 356.22 81.31 C202006051626A N
38.71 38.23 14.5 -2.34 -2.16 4.5 3.27 -2.75 2.55 23 38.71 38.23 C202006051806A SS-N
332.13 45.3 12.0 -3.03 0.165 2.86 0.277 0.127 0.473 23 332.13 45.3 C202006052122A N
161.83 54.08 23.1 -0.079 1.88 -1.8 -0.737 1.21 -0.399 23 161.83 54.08 C202006052127A SS-N
346.44 -7.47 12.5 -2.38 0.277 2.1 -0.173 -0.521 0.419 23 346.44 -7.47 C202006060503A N
180.45 -22.2 583.1 3.92 0.77 -4.69 5.61 -5.5 -3.47 23 180.45 -22.2 B202006060722A R-SS
335.09 -57.83 36.5 3.62 0.87 -4.49 -1.33 1.23 0.991 23 335.09 -57.83 C202006060805A R
177.21 -16.53 14.4 0.448 -0.275 -0.174 0.387 -0.72 4.46 24 177.21 -16.53 C202006061055A SS
96.79 1.71 21.8 3.38 -0.695 -2.68 1.65 -2.62 0.817 23 96.79 1.71 C202006062350B R
177.27 -16.51 18.6 0.923 -3.71 2.78 0.229 0.01 2.54 23 177.27 -16.51 C202006070342B SS
283 -4.01 119.1 -1.78 0.076 1.7 -0.104 0.317 -0.14 24 283.0 -4.01 C202006071031A N
126.69 9.2 27.1 3.07 0.314 -3.39 -0.074 2.86 0.696 23 126.69 9.2 C202006071409A R
166.08 -10.49 20.5 -0.698 3.03 -2.34 -0.145 2.79 -3.72 24 166.08 -10.49 C202006071437A SS-N
166.04 -10.52 20.1 -0.887 2.79 -1.9 0.004 1.74 -4.42 24 166.04 -10.52 C202006071443A SS
47.88 12.63 15.2 -0.234 0.966 -0.732 -0.242 0.34 0.42 24 47.88 12.63 C202006071512A SS-N
151.62 -5.53 55.1 6.58 -7.54 0.95 1.16 -1.82 -2.52 24 151.62 -5.53 C202006072006A R
124.2 -0.37 86.8 -0.748 1.62 -0.871 3.49 1.27 1.64 23 124.2 -0.37 C202006080234A N
242.25 38.26 12.0 -0.187 -1.81 2 0.219 0.524 1.6 23 242.25 38.26 C202006080324A SS
268.76 13.05 21.6 2.2 -1.58 -0.625 1.74 -1.04 0.55 23 268.76 13.05 C202006080605A R
181.82 -17.94 555.0 -5.29 -0.517 5.81 -0.238 -5.79 0.394 23 181.82 -17.94 B202006081903A N
279.62 -44.79 21.0 -0.344 1.49 -1.14 -0.186 0.494 -3.17 23 279.62 -44.79 C202006081932B SS
279.73 -44.84 27.1 -0.535 1.45 -0.913 -0.131 0.831 -3.02 23 279.73 -44.84 C202006081949A SS
126.34 -4.15 23.0 -0.367 -3.67 4.03 0.979 0.325 2.59 24 126.34 -4.15 C202006090456A SS
53.35 27.57 12.0 1.65 -1.76 0.114 0.098 -0.326 0.199 24 53.35 27.57 C202006091608A R
53.36 27.52 12.0 3.86 -3.6 -0.259 1.53 -0.365 1.52 24 53.36 27.52 C202006091718A R
59.51 7.31 12.8 -1.58 -0.272 1.85 0.804 -0.294 -0.563 23 59.51 7.31 C202006100111A N-SS
179.19 -23.54 561.6 -2.13 2.01 0.115 4.12 -0.704 -7.77 24 179.19 -23.54 C202006100429A SS-N
100.86 -2.63 52.3 -3.64 5.08 -1.44 1.02 -3.04 -1.44 23 100.86 -2.63 C202006100435A N-SS
346.69 -15.78 12.0 -6.26 -0.186 6.45 2.42 -2.38 -0.897 24 346.69 -15.78 C202006101958A N
346.69 -15.8 12.0 -1.19 0.097 1.09 0.385 -0.663 -0.157 24 346.69 -15.8 C202006102114A N
151.19 -3.78 14.3 -2.01 1.17 0.838 -0.533 0.434 0.915 23 151.19 -3.78 C202006110040A N
348.24 -6.77 12.0 -0.703 -3.2 3.9 -1.21 -0.606 5.35 23 348.24 -6.77 C202006120053A SS
216.88 -56.33 20.2 -0.63 3.68 -3.05 -0.025 -0.2 2.78 23 216.88 -56.33 C202006120100A SS
41.76 -42.89 12.0 -0.557 1.98 -1.42 0.163 0.577 4.89 24 41.76 -42.89 C202006120253A SS
167.66 -44.38 21.3 0.856 1.27 -2.13 0.093 -1.6 -0.802 23 167.66 -44.38 C202006120729A R-SS
186.35 -16.33 112.9 1.25 -3.49 2.24 -1.95 -2.94 -1.38 23 186.35 -16.33 C202006121909A R-SS
186.55 -21.14 14.4 2.43 -0.444 -1.99 0.746 0.584 -0.573 23 186.55 -21.14 C202006130607A R
117.91 -8.96 13.1 4.04 -1.88 -2.16 -2.78 -0.177 -2.44 23 117.91 -8.96 C202006130915A R-SS
181.75 51.17 35.6 3.48 -3.19 -0.288 2.11 1.82 -1.63 23 181.75 51.17 C202006131143A R
171.33 -22.3 107.7 1.8 -0.151 -1.65 1.01 1.76 2.62 23 171.33 -22.3 C202006131424A R-SS
128.38 28.79 170.9 -0.705 -0.06 0.765 -0.424 -0.787 -0.548 26 128.38 28.79 C202006131551A N-SS
69.05 -23.33 31.2 -3.15 1.01 2.14 -0.583 0.173 -0.712 24 69.05 -23.33 C202006131848A N
122.37 24.24 50.7 0.84 0.644 -1.48 0.691 0.094 -0.095 24 122.37 24.24 C202006132018A R-SS
145 18.89 593.4 -2.76 1.49 1.26 -0.398 0.315 -1.38 25 145.0 18.89 C202006132108A N
53.29 27.48 15.0 5.45 -5.46 0.009 2.61 -0.654 1.55 23 53.29 27.48 C202006132204A R
