#Lon Lat Depth mrr mtt mff mrt mrf mtf Exponent_(dyn-cm) X_position Y_position ID Mechanism_type
292.97 -24.01 197.0 -1.45 -0.359 1.81 0.394 -2.74 0.135 23 292.97 -24.01 C202005010101A N
153.11 -4.52 71.3 1.79 -2.58 0.792 -0.419 1.06 1.21 23 153.11 -4.52 C202005010402A R-SS
182.53 -17.37 386.6 -4.27 4.01 0.261 -0.423 0.127 -2.34 23 182.53 -17.37 B202005010455A N
161.97 54.38 43.5 3.84 -0.993 -2.84 1.23 1.27 -1.87 23 161.97 54.38 C202005010704A R
127.17 4.5 88.9 0.361 2.17 -2.53 -0.601 1.47 -1.44 23 127.17 4.5 C202005011348A SS-R
57.06 28.25 15.1 0.522 -0.411 -0.111 4.86 -0.486 0.151 23 57.06 28.25 C202005012028A R
54.14 -35.12 19.7 -0.779 0.766 0.013 0.265 -0.004 1.73 23 54.14 -35.12 C202005020356A SS
293.28 18.05 12.0 -1.75 1.07 0.685 0.121 -0.103 1.05 24 293.28 18.05 C202005021113A N
25.64 34.05 12.0 0.663 -0.744 0.08 0.721 -0.125 -0.027 26 25.64 34.05 C202005021251A R
25.59 34.22 26.1 -0.022 -2.17 2.2 0.474 0.143 -0.597 24 25.59 34.22 C202005021333A SS
25.61 34.11 14.8 0.998 -0.989 -0.009 0.185 0.056 0.384 24 25.61 34.11 C202005021644A R
69.53 -23.95 17.7 -6.25 2.38 3.87 0.933 -0.865 -2.3 23 69.53 -23.95 C202005021812A N
289.39 -15.4 208.2 -3.06 1.91 1.15 1.65 -1.83 -1.44 24 289.39 -15.4 C202005030044A N
121.54 23.19 47.3 7.35 -0.98 -6.37 -1.34 -0.69 -3.12 23 121.54 23.19 C202005030324A R
25.91 34.12 17.7 1.07 -2.33 1.26 0.426 -1.23 1.13 23 25.91 34.12 C202005030554A SS-R
104.61 -6.54 51.5 3.66 -4.14 0.484 1.32 -1.4 1.8 23 104.61 -6.54 C202005030706A R
128.66 31.35 12.0 -0.146 -0.385 0.531 0.5 0.212 1.19 25 128.66 31.35 C202005031154A SS-R
246.44 -22.35 14.3 -0.04 -8.43 8.48 -1.11 -1.51 1.23 23 246.44 -22.35 C202005031335A SS
186.05 -21.82 21.6 3.59 -0.921 -2.67 1.35 1.09 -0.908 23 186.05 -21.82 C202005031525A R
36.23 2.97 13.9 -3.31 -0.769 4.08 1.8 0.144 -0.763 23 36.23 2.97 C202005031936A N-SS
141.96 30.98 12.0 6.04 1.06 -7.1 -0.512 2.64 0.419 23 141.96 30.98 C202005040303A R
140.69 35.6 48.3 2.96 0.032 -2.99 -0.166 2.53 -0.338 24 140.69 35.6 C202005041307A R
121.69 11.23 14.0 -0.256 1.19 -0.929 0.295 -0.287 1.24 23 121.69 11.23 C202005041412A SS
299.24 10.07 24.2 -0.785 2 -1.22 -0.254 1.07 0.984 23 299.24 10.07 C202005042232A SS-N
218.32 -56.89 18.7 -0.089 0.874 -0.785 -0.048 -0.048 0.708 24 218.32 -56.89 C202005050009A SS
185.03 -17.83 281.0 0.238 1.83 -2.07 3.96 -1.32 1.61 23 185.03 -17.83 C202005050804A R
168.43 -20 24.2 2.41 -0.465 -1.94 0.028 -1.06 0.54 23 168.43 -20.0 C202005051012A R
187.05 -15.28 12.0 -0.3 0.491 -0.192 1.61 4.77 -0.383 23 187.05 -15.28 C202005051049A R
268.62 13.19 12.0 1.75 -1.39 -0.358 1.12 -1.42 0.543 24 268.62 13.19 C202005051202A R
246.5 -22.35 12.0 -0.068 -1.45 1.52 -0.526 0.218 0.713 23 246.5 -22.35 C202005051314A SS
140.24 35.58 58.1 4.86 -0.002 -4.86 -3.19 2.55 3.52 23 140.24 35.58 C202005051657A R-SS
